ID,Sex,Greutate,Lungime_urechi,Ureche_lăsată,Culoare,Vârstă,Tip_blană,Calitate_blană,Formă_corp,Apare_gușa,Sănătate,Scor_jurizare
542,Femelă,1.6,19.1,False,Havana,9,Scurtă,Excelentă,Incorectă,False,Probleme_grave_de_sănătate,0
441,Mascul,2.7,22.1,False,Agouti,18,Lungă,Excelentă,Aproape_corectă,False,Probleme_grave_de_sănătate,0
483,Femelă,7.7,42.3,True,Alb,10,Lungă,Foarte_bună,Corectă,False,Ușoare_probleme_de_sănătate,93
423,Femelă,1.8,19.8,False,Havana,10,Scurtă,Foarte_bună,Incorectă,False,Probleme_grave_de_sănătate,0
779,Femelă,7.7,42.4,True,Havana,11,Lungă,Foarte_bună,Incorectă,True,Aspect_neîngrijit,82
950,Femelă,8.6,41.2,True,Agouti,13,Lungă,Foarte_bună,Corectă,True,Probleme_grave_de_sănătate,0
335,Mascul,2.5,19.1,False,Agouti,10,Scurtă,Excelentă,Corectă,False,Probleme_grave_de_sănătate,0
577,Femelă,2.0,18.7,False,Havana,10,Scurtă,Excelentă,Corectă,False,Ușoare_probleme_de_sănătate,83
935,Mascul,7.0,40.1,True,Albastru,9,Lungă,Foarte_bună,Incorectă,True,Ușoare_probleme_de_sănătate,0
568,Femelă,2.2,19.6,False,Agouti,10,Scurtă,Foarte_bună,Incorectă,True,Sănătos,68
595,Mascul,2.4,20.6,False,Alb,6,Scurtă,Foarte_bună,Incorectă,False,Sănătos,70
531,Femelă,2.7,18.2,False,Negru,7,Scurtă,Foarte_bună,Aproape_corectă,True,Probleme_grave_de_sănătate,0
582,Mascul,1.7,21.3,False,Alb,8,Scurtă,Foarte_bună,Corectă,False,Ușoare_probleme_de_sănătate,78
708,Mascul,1.5,20.0,False,Albastru,7,Scurtă,Excelentă,Aproape_corectă,False,Aspect_neîngrijit,79
449,Mascul,5.4,40.1,True,Alb,6,Lungă,Excelentă,Aproape_corectă,True,Aspect_neîngrijit,0
454,Femelă,8.8,43.1,True,Albastru,17,Lungă,Foarte_bună,Corectă,True,Sănătos,93
229,Femelă,1.6,20.6,False,Albastru,10,Scurtă,Excelentă,Aproape_corectă,False,Sănătos,80
353,Mascul,6.9,41.7,True,Agouti,8,Lungă,Bună,Corectă,False,Sănătos,90
729,Femelă,6.5,39.3,True,Havana,10,Lungă,Bună,Corectă,True,Sănătos,88
213,Mascul,2.0,21.7,False,Alb,15,Lungă,Excelentă,Corectă,False,Probleme_grave_de_sănătate,0
80,Femelă,1.6,21.8,False,Alb,8,Scurtă,Bună,Aproape_corectă,False,Ușoare_probleme_de_sănătate,68
149,Mascul,7.4,42.2,True,Havana,8,Lungă,Excelentă,Corectă,False,Ușoare_probleme_de_sănătate,98
303,Mascul,2.1,23.5,False,Albastru,7,Lungă,Bună,Incorectă,False,Ușoare_probleme_de_sănătate,63
